Objet_metier,Priorite,Dataset_Ecoinvent,UUID,Unite,Location,Correspondance,Geographie_QC,Donnees_primaires_QC,Verdict,Lacune_Ecoinvent,Donnee_entreprise_manquante,Action_recommandee
Electricite_atelier,P1,market for electricity medium voltage (non isole pour CA-QC),Non determine,Non determinee pour l'instance CA-QC,CA-QC vise non isole,Inconnue,Non determinee,Aucune identifiee,Non evalue - limitation d'acces MCP,Aucune demontree - limite d'outil MCP (recherche par nom sans filtre geographique; extraction de masse en timeout),Consommation electrique reelle kWh,Rechercher un acces geographique direct hors MCP avant toute decision
Transport_entrant,P1,market for transport freight lorry unspecified (candidat inspecte),49eb6ae0-86d7-3674-89b9-566267648ba9,t*km,Global,Moyenne a forte,Faible - non etablie dans ce lot,Aucune identifiee,Utilisable avec parametrage entreprise; sous reserve de validation de la representativite technologique/geographique,Dataset combine plusieurs classes d'emission EURO3-6; representativite nord-americaine non etablie dans ce lot,Distance fournisseur vers atelier; masse transportee,Conserver comme candidat; demander les distances reelles par fournisseur principal; valider la representativite
Transport_sortant,P1,market for transport freight lorry unspecified (meme dataset candidat; parametrage distinct),49eb6ae0-86d7-3674-89b9-566267648ba9,t*km,Global,Moyenne a forte,Faible - non etablie dans ce lot,Aucune identifiee,Utilisable avec parametrage entreprise; sous reserve de validation de la representativite technologique/geographique,Identique au transport entrant; incidence du volume et du taux de remplissage a evaluer lors du parametrage (aucune methode de correction prescrite a ce stade),Distance atelier vers client; masse; informations de chargement si disponibles,Conserver comme candidat; ne pas reutiliser le taux de chargement du transport entrant; valider la representativite
Chutes_bois_massif,P1,waste wood untreated + traitements (landfill/incineration),6f2eb438-cde2-4d07-a770-d023a988a9c4,kg,Europe/RoW selon variante,Moyenne,Faible - traitements non valides pour le Quebec,Aucune identifiee,Utilisable avec parametrage entreprise; sous reserve de validation de la representativite quebecoise des traitements,Parametres europeens de decharge et d'incineration non verifies pour le Quebec,Repartition reelle entre destinations (decharge/incineration/valorisation),Conserver comme candidat; demander la repartition reelle des destinations; valider la representativite des traitements
Chutes_panneaux,P1,Aucun flow suffisamment representatif identifie - waste wood untreated envisage comme proxy candidat (non construit),6f2eb438-cde2-4d07-a770-d023a988a9c4 (proxy candidat; non construit),kg,Europe/RoW,Faible,Faible,Aucune identifiee,Proxy candidat a evaluer,Aucun flow suffisamment representatif de la composition resineuse (UF/MF) d'un panneau identifie avec les recherches du Lot 2G; candidat waste fibreboard inspecte et non retenu (composition bois+PU differente),Quantite generee; repartition des destinations,Evaluer le proxy candidat en documentant explicitement cette limite; proxy non construit dans ce lot
Sciures_poussieres,P1,saw dust wet/loose measured as dry mass (PRODUCT_FLOW; co-produit),a514c9f2-0d4d-4ce2-809b-de4c29e74709 / dfaef357-a79e-4846-aabc-848b1ab59fbb,kg,Generique,Moyenne,Sans objet,Aucune identifiee,Utilisable (si valorisee) / Proxy candidat a evaluer (si mise en decharge),Aucun flow de dechet de sciure suffisamment pertinent identifie avec les recherches effectuees dans le Lot 2G; la poussiere captee par aspiration n'est pas automatiquement une emission atmospherique,Part captee/valorisee vs mise en decharge; destination reelle,Clarifier avec l'entreprise si la sciure est vendue; valorisee ou mise en decharge
Gaz_naturel_chaleur,P2,market for heat central or small-scale natural gas,45ee995d-b001-3cf9-b36f-225c8efd320b,MJ,Rest-of-World,Moyenne,Aucune variante CA-QC/CA/RNA identifiee parmi les variantes inspectees; brique amont gaz haute pression Quebec identifiee (UUID 3261abf1-b57c-314d-bb54-5a0a60b54bb2) non substituable directement,Brique amont Quebec identifiee (gaz haute pression) non substituable au service de chaleur,Candidat generique utilisable / representativite geographique a valider,Aucun service de chaleur au gaz naturel specifique Quebec/Canada/Amerique du Nord identifie parmi les variantes de cette famille inspectees. Un marche de gaz naturel haute pression specifique Quebec a toutefois ete identifie sans chaine quebecoise complete vers la combustion en chaudiere etablie dans ce lot,Consommation reelle annuelle de gaz naturel ou de chaleur de l'atelier selon la donnee d'activite disponible,Conserver le candidat RoW; noter la brique amont Quebec pour une reconstruction eventuelle hors perimetre
Eau_procede,P2,market for tap water,3ab1597e-4b32-3e85-aec7-310678be9f64,kg,Quebec,Forte,Forte (dataset regional Quebec identifie),Dataset regional Quebec identifie,Directement utilisable,Aucune lacune majeure identifiee a ce stade pour l'approvisionnement en eau distribuee; dataset regional Quebec identifie,Quantite reelle d'eau de procede/nettoyage consommee par l'atelier,Adopter ce dataset comme candidat retenu
Eaux_usees,P2,market for wastewater average,7a2be1f9-6dca-35f5-a39f-1d64c9e22eae,m3,Rest-of-World,Moyenne,Aucune variante CA-QC/CA/RNA identifiee parmi les trois variantes inspectees,Aucune identifiee,Candidat generique conserve; adequation au rejet reel a valider,Aucune variante Quebec/Canada/Amerique du Nord identifiee parmi les trois variantes de cette famille inspectees,Volume annuel rejete et nature reelle du rejet (distinction eaux sanitaires/nettoyage ordinaire vs rejets lies aux procedes de finition ou d'adhesifs),Conserver le candidat RoW; clarifier la nature reelle du rejet avec l'entreprise
Residus_contamines,P2,treatment of waste paint hazardous waste incineration (peinture - candidat specifique); flux generiques hazardous waste (autres residus - non specifiques),d39c3e17-6987-3ca0-80c1-5121f4806469,kg,Suisse,Forte (peinture) / Inconnue (colles solvants chiffons),Faible,Aucune identifiee,Utilisable avec parametrage (peinture) / Proxy a adapter (autres residus),Aucun flow suffisamment specifique aux colles solvants ou chiffons contamines identifie avec les recherches effectuees dans le Lot 2G; seule la categorie peinture dispose d'une composition documentee,Nature exacte du residu (peinture/colle/solvant/chiffons) et quantites par categorie,Distinguer la peinture des autres residus contamines dans la collecte terrain
