Produit_metier,Produit_fonctionnel_Ecoinvent,Dataset,UUID,Niveau_representation,Correspondance_physique,Location,Composition_connue,Procede_disponible,Geographie_QC,Donnees_primaires_QC,Verdict,Principale_lacune,Variables_fournisseur,Action_recommandee
Chant_bois_preencolle,Non,Aucun,Aucun,Aucune brique utile,Aucune,Sans objet,Non,Non,Sans objet,Aucune (0%),Produit absent,Aucune brique de placage/bande mince disponible dans la base,"Essence, grammage/epaisseur, largeur, type et grammage de colle, pertes",Donnees insuffisantes pour decider
Chant_bois_non_encolle,Non,Aucun,Aucun,Aucune brique utile,Aucune,Sans objet,Non,Non,Sans objet,Aucune (0%),Produit absent,Meme lacune - aucune brique de bois mince disponible,"Essence, grammage/epaisseur, largeur, pertes",Donnees insuffisantes pour decider
Chant_ABS,Non,market for ABS copolymer + extrusion plastic pipes,ca074112-8461-32ac-b814-2d7749b7b862 + 8bb6fcd6-e6dc-3397-ae07-499a2f71be3c,Matiere + procede generique non specifique ABS,Faible - geometrie tubulaire/film non representee,GLO (matiere) / RoW et CA-QC copie identique (procede),Non,Oui mais non specifique ABS,Faible - copie CA-QC identique au GLO,Aucune (0%),Matiere et procede potentiellement reconstructible - faible confiance,Procede disponible non specifique ABS et geometriquement inadapte,"Masse/m, largeur, epaisseur, additifs, procede reel du fournisseur",Utiliser seulement comme proxy a tester
Chant_PVC,Non,market for polyvinyl chloride suspension polymerised + calendering rigid sheets,fa6532b7-7f96-3bbb-8f42-c300d800d5ff + d0a9fc16-0991-3ab1-b75e-340dbf4c0506,Matiere + procede avec indice de specificite PVC,Moyenne - feuille rigide plus proche mais pas forme exacte,RoW/RER (matiere) / Europe (procede),Partielle - specificite PVC indiquee par flux de dechet,Oui - calandrage rigide avec indice de specificite PVC,Faible,Aucune (0%),Matiere et procede potentiellement reconstructible,Forme exacte et formulation/additifs non confirmes; donnee de procede ancienne,"Masse/m, largeur, epaisseur, formulation/additifs, procede reel",Utiliser seulement comme proxy a tester
Vis_assemblage_6,Non,market for steel low-alloyed + wire drawing steel,1af29f22-5a0a-3130-a65d-6ea9928f522a + 5563eb07-b684-33b5-bf13-a8f604fe5b06,Matiere + procede partiel,Faible,Global,Non,Partiel - trefilage disponible; mise en forme finale absente,Faible,Aucune (0%),Matiere et procede potentiellement reconstructible,"Composition, revetement, procede complet et masse par piece a confirmer","Masse par vis #6, alliage, revetement, procede, origine",Utiliser seulement comme proxy apres confirmation fournisseur
Vis_assemblage_8,Non,Meme piste generique que Vis #6 sous confirmation fournisseur,1af29f22-5a0a-3130-a65d-6ea9928f522a + 5563eb07-b684-33b5-bf13-a8f604fe5b06,Matiere + procede partiel,Faible,Global,Non,Partiel,Faible,Aucune (0%),Matiere et procede potentiellement reconstructible,"Composition, revetement, procede complet et masse propres a #8 a confirmer","Masse par vis #8, alliage, revetement, procede, origine",Utiliser seulement comme proxy si composition/procede comparables a #6 sont confirmes
Charniere_invisible,Non,Steel low-alloyed / chromium steel 18/8 (generiques),Voir Lot 1,Matiere seule,Faible,Global,Non - composition fabricant necessaire,Generique seulement,Faible,Aucune (0%),Matiere seulement,Nomenclature/composition interne inconnue; produit fonctionnel et procede specifique absents,"Masse totale, materiaux constitutifs et parts, revetement, nombre de pieces, origine",Donnees insuffisantes pour decider
Coulisse_tiroir,Non,Steel low-alloyed (generique),Voir Lot 1,Matiere seule,Faible,Global,Non - composition fabricant necessaire,Aucun procede specifique trouve,Faible,Aucune (0%),Matiere seulement,Composition et systeme de roulement inconnus; produit fonctionnel et procede specifique absents,"Masse totale, materiaux constitutifs et parts, revetement, longueur, origine",Donnees insuffisantes pour decider
Poignee_metallique,Non,Section bar extrusion aluminium (conditionnel),5add4ce2-34b8-3248-9c0e-2dc6b7afa501 / f9734588-817c-36f9-bae1-c1659cff0aa0,Matiere + procede conditionnel au materiau,Faible a moyenne si aluminium confirme,Global,Non - materiau a confirmer,Oui si aluminium; sinon aucun procede specifique,Faible,Aucune (0%),Matiere et procede reconstructible sous condition,Materiau reel non confirme,"Materiau reel, masse, finition, procede, fixation incluse ou non, origine",Donnees insuffisantes pour decider
Pied_nivellement,Non,Polypropylene + injection moulding (partie plastique conditionnelle),Voir Lot 1,Matiere + procede pour partie plastique si composition confirmee,Moyenne conditionnelle,Global,Non - composition complete a confirmer,Oui pour partie plastique si PP confirme,Faible,Aucune (0%),Matiere et procede reconstructible partiellement,Composition complete et insert metallique eventuel non confirmes,"Composition complete, masse totale, materiau exact, procede",Utiliser seulement comme proxy apres confirmation fournisseur
